LoanID,AccountID,LoanStatusID,PrincipalAmount,InterestRate,StartDate,EstimatedEndDate
400230,200876,1,76958.56,0.0547,00:00.0,00:00.0
400307,200789,1,29013.67,0.0321,00:00.0,00:00.0
400233,201275,1,48596.76,0.1017,00:00.0,00:00.0
400100,200070,1,9191.43,0.0999,00:00.0,00:00.0
400141,200808,1,76322.83,0.0906,00:00.0,00:00.0
400320,201246,2,93715.1,0.0784,00:00.0,00:00.0
400267,200148,1,19627.15,0.0864,00:00.0,00:00.0
400317,201509,2,40473.32,0.1276,00:00.0,00:00.0
400323,200934,1,41206.98,0.1411,00:00.0,00:00.0
400034,200404,1,97362.97,0.1145,00:00.0,00:00.0
400237,200397,3,78955.6,0.0312,00:00.0,00:00.0
400072,201573,1,5446.88,0.1015,00:00.0,00:00.0
400153,201498,1,87408.64,0.0855,01:44.3,00:00.0
400194,200907,2,47361.17,0.0562,00:00.0,00:00.0
400156,201015,1,86224.07,0.1479,00:00.0,00:00.0
400290,200660,1,41039.33,0.0914,00:00.0,00:00.0
400053,200900,2,68008.02,0.086,00:00.0,00:00.0
400079,201254,1,94432.05,0.0512,00:00.0,00:00.0
400278,201187,1,88397.27,0.1002,00:00.0,00:00.0
400120,200849,1,6931.92,0.0381,00:00.0,00:00.0
400017,201263,1,62585.34,0.1008,00:00.0,00:00.0
400226,201525,1,31038.04,0.139,00:00.0,00:00.0
400300,200592,1,28348.12,0.1141,00:00.0,00:00.0
400130,200113,2,37599.36,0.1106,00:00.0,00:00.0
400191,200701,1,83515.17,0.0796,00:00.0,00:00.0
400181,201394,2,60739.7,0.0336,00:00.0,00:00.0
400140,201276,1,88432.42,0.0675,00:00.0,00:00.0
400041,200123,3,63515.6,0.0754,00:00.0,00:00.0
400024,201126,2,81509.04,0.0846,00:00.0,00:00.0
400095,200694,1,99830.33,0.143,00:00.0,00:00.0
400328,201273,1,16019.02,0.1067,00:00.0,00:00.0
400143,201218,1,4806.2,0.0899,00:00.0,00:00.0
400202,201346,1,16092.64,0.0976,00:00.0,00:00.0
400111,201428,1,87544.32,0.0655,00:00.0,00:00.0
400006,200822,2,28952.23,0.0345,00:00.0,00:00.0
400262,201288,1,46195.74,0.1118,00:00.0,00:00.0
400302,200932,1,76955.79,0.1077,00:00.0,00:00.0
400198,201044,1,26204.77,0.1407,00:00.0,00:00.0
400304,200311,1,5763.32,0.1186,00:00.0,00:00.0
400126,201381,1,80854.81,0.1319,00:00.0,00:00.0
400101,200346,1,83796.69,0.1315,00:00.0,00:00.0
400177,200177,2,10195.48,0.0953,00:00.0,00:00.0
400090,201578,1,18048.87,0.0678,00:00.0,00:00.0
400032,200333,1,82144.49,0.132,00:00.0,00:00.0
400039,200466,1,72665.87,0.1324,00:00.0,00:00.0
400076,200005,1,27208.83,0.0873,00:00.0,00:00.0
400265,201477,1,52160.39,0.0984,00:00.0,00:00.0
400303,200252,1,41063.62,0.0579,00:00.0,00:00.0
400182,200087,2,87988.21,0.0612,00:00.0,00:00.0
400296,200335,1,64568.16,0.0476,00:00.0,00:00.0
400306,201149,3,44352.65,0.0327,00:00.0,00:00.0
400179,200715,1,95797.71,0.1006,00:00.0,00:00.0
400261,201449,3,59380.52,0.0677,00:00.0,00:00.0
400069,201265,1,47566.87,0.1065,00:00.0,00:00.0
400083,200846,1,35657.3,0.0748,00:00.0,00:00.0
400301,200075,1,27657.83,0.048,00:00.0,00:00.0
400189,200689,1,2117.59,0.0329,00:00.0,00:00.0
400246,201249,1,74412.22,0.1066,00:00.0,00:00.0
400251,200119,1,75297.62,0.0918,00:00.0,00:00.0
400119,200802,3,41375.81,0.0703,00:00.0,00:00.0
400321,200312,1,1396.1,0.1229,00:00.0,00:00.0
400062,201073,1,79515.81,0.1193,00:00.0,00:00.0
400282,200498,1,73755.24,0.048,00:00.0,00:00.0
400160,201504,1,23193.37,0.1402,00:00.0,00:00.0
400291,200343,1,40879.03,0.0473,00:00.0,00:00.0
400308,201515,2,76525.78,0.1099,00:00.0,00:00.0
400324,200598,1,83919.49,0.1321,00:00.0,00:00.0
400200,201599,1,35902.5,0.0358,00:00.0,00:00.0
400285,200270,3,14857.72,0.0731,00:00.0,00:00.0
400009,201103,1,82121.58,0.0766,00:00.0,00:00.0
400020,200017,1,89097.17,0.1232,00:00.0,00:00.0
400112,201077,2,7431.11,0.0634,00:00.0,00:00.0
400295,200050,2,54953.1,0.0674,00:00.0,00:00.0
400244,200420,1,34846.6,0.0816,00:00.0,00:00.0
400254,200785,1,87783.19,0.108,00:00.0,00:00.0
400057,201317,2,83339.02,0.0924,00:00.0,00:00.0
400019,201054,1,17917.14,0.0362,00:00.0,00:00.0
400001,201103,1,63899,0.0793,00:00.0,00:00.0
400180,201470,1,38913.5,0.1236,00:00.0,00:00.0
400010,200002,1,42380.44,0.0809,00:00.0,00:00.0
400108,200846,2,27885.31,0.103,00:00.0,00:00.0
400175,200310,2,16484.84,0.0329,00:00.0,00:00.0
400174,200119,1,83659.7,0.0693,00:00.0,00:00.0
400151,201643,1,99063.01,0.0682,00:00.0,00:00.0
400293,200851,1,70782.7,0.0847,00:00.0,00:00.0
400313,200812,1,35479.87,0.1219,00:00.0,00:00.0
400187,201022,1,1473.13,0.0947,00:00.0,00:00.0
400149,201143,2,99065.5,0.0484,00:00.0,00:00.0
400222,200427,1,3322.19,0.1456,00:00.0,00:00.0
400048,201489,1,99830.19,0.1134,00:00.0,00:00.0
400040,200648,2,11854.46,0.0725,00:00.0,00:00.0
400124,200063,3,89209.9,0.0429,00:00.0,00:00.0
400268,200514,2,8523.16,0.0305,00:00.0,00:00.0
400007,200255,2,64001.15,0.0792,00:00.0,00:00.0
400104,201597,2,36389.88,0.0511,00:00.0,00:00.0
400094,201223,3,7563.51,0.0422,00:00.0,00:00.0
400096,201433,1,58140.94,0.0817,00:00.0,00:00.0
400148,200716,1,17620.82,0.0488,00:00.0,00:00.0
400255,201629,1,27852.86,0.064,00:00.0,00:00.0
400116,200637,2,8683.56,0.1288,00:00.0,00:00.0
400247,200116,2,43125.92,0.0992,00:00.0,00:00.0
400234,200817,2,38023.02,0.1116,00:00.0,00:00.0
400085,200315,1,35193.45,0.1363,00:00.0,00:00.0
400256,200663,1,84671.11,0.0678,00:00.0,00:00.0
400058,200883,1,50198.39,0.0968,00:00.0,00:00.0
400137,200101,2,89648.09,0.1181,00:00.0,00:00.0
400070,200676,3,28930.44,0.1018,00:00.0,00:00.0
400117,200262,1,59673.83,0.1411,00:00.0,00:00.0
400216,200003,1,57741.55,0.0734,00:00.0,00:00.0
400203,200770,1,14254.2,0.0964,00:00.0,00:00.0
400049,200684,1,8876.03,0.094,00:00.0,00:00.0
400033,201128,1,13516.43,0.0991,00:00.0,00:00.0
400196,201336,1,78063.86,0.1359,00:00.0,00:00.0
400106,200834,1,11879.52,0.088,00:00.0,00:00.0
400050,200578,1,79026.18,0.0883,00:00.0,00:00.0
400299,201121,1,27223.9,0.0417,00:00.0,00:00.0
400114,201541,3,55584.62,0.1377,00:00.0,00:00.0
400232,200683,2,30825.35,0.1469,00:00.0,
400121,200360,1,16268.74,0.0609,00:00.0,00:00.0
400107,200498,1,68503.05,0.1277,00:00.0,00:00.0
400035,201081,2,50421.73,0.0681,00:00.0,00:00.0
400123,200717,1,64860.93,0.0919,00:00.0,00:00.0
400051,200946,1,58822.33,0.1198,00:00.0,00:00.0
400158,200223,1,38787.45,0.1085,00:00.0,00:00.0
400309,200157,1,47661.39,0.0686,00:00.0,00:00.0
400133,200391,3,87987.99,0.0402,00:00.0,00:00.0
400224,201172,2,78661.15,0.1195,00:00.0,00:00.0
400003,200512,1,15797.11,0.0636,00:00.0,00:00.0
400318,200941,2,43704.85,0.0446,00:00.0,
400314,200982,1,74680.25,0.087,,00:00.0
400322,201361,1,79157.89,0.1236,00:00.0,00:00.0
400142,200768,1,62681.63,0.0977,00:00.0,00:00.0
400201,200414,1,79637.45,0.0483,00:00.0,00:00.0
400075,200206,1,90788.26,0.0425,00:00.0,00:00.0
400065,201638,2,40746.65,0.0522,00:00.0,00:00.0
400074,200205,2,56372.03,0.0489,00:00.0,00:00.0
400287,200111,1,44265.25,0.1135,00:00.0,00:00.0
400289,200746,1,15581.58,0.0969,00:00.0,00:00.0
400264,201456,3,70349.1,0.1297,00:00.0,00:00.0
400227,200012,1,88591.01,0.0846,00:00.0,00:00.0
400078,201604,1,97866.11,0.1054,00:00.0,00:00.0
400195,201524,3,85139.66,0.0573,00:00.0,00:00.0
400199,200911,3,78332.61,0.1131,00:00.0,00:00.0
400103,201580,1,48726.88,0.0642,00:00.0,00:00.0
400236,201198,3,13704.05,0.0413,00:00.0,00:00.0
400118,200948,1,17211.8,0.046,00:00.0,00:00.0
400029,201214,1,3658.5,0.0865,00:00.0,00:00.0
400250,201229,3,88517,0.075,00:00.0,00:00.0
400157,200436,1,20469.85,0.0382,00:00.0,00:00.0
400016,200225,1,81786.64,0.136,00:00.0,00:00.0
400286,201206,1,23406.84,0.0676,00:00.0,00:00.0
400139,201086,1,8731.49,0.0763,00:00.0,00:00.0
400252,200279,3,23508.35,0.0607,00:00.0,00:00.0
400207,200613,1,36852.66,0.0527,00:00.0,00:00.0
400188,200424,1,75583.81,0.0829,00:00.0,00:00.0
400071,200788,1,98478.6,0.0833,00:00.0,00:00.0
400026,201235,1,36366.26,0.0968,00:00.0,00:00.0
400280,201619,3,64238.32,0.147,00:00.0,00:00.0
400208,200943,1,6507.99,0.0969,00:00.0,00:00.0
400329,201552,1,28696.43,0.1398,00:00.0,00:00.0
400279,200517,2,65043.15,0.1027,00:00.0,00:00.0
400099,200211,1,58849.83,0.1063,00:00.0,00:00.0
400220,200300,1,64057.79,0.1046,00:00.0,00:00.0
400044,201292,1,43976.71,0.1051,00:00.0,00:00.0
400109,200903,1,1128.49,0.0853,00:00.0,00:00.0
400326,200931,1,64509.02,0.0775,00:00.0,00:00.0
400087,201406,2,82452.32,0.1001,00:00.0,00:00.0
400159,200578,1,70814.41,0.1138,00:00.0,00:00.0
400146,201527,1,16811.7,0.0596,00:00.0,00:00.0
400134,201434,1,83896.24,0.0974,00:00.0,00:00.0
400273,200056,1,15613.66,0.073,00:00.0,00:00.0
400122,201280,1,47753.35,0.0844,00:00.0,00:00.0
400276,201022,1,82590.09,0.1426,00:00.0,00:00.0
400064,200511,2,16385.38,0.1002,00:00.0,00:00.0
400217,200410,2,14932.62,0.1226,00:00.0,00:00.0
400081,200617,2,36519.6,0.1388,00:00.0,00:00.0
400059,200639,1,52339.53,0.0621,00:00.0,00:00.0
400183,200619,1,68151.05,0.1453,,00:00.0
400154,200317,1,72913.28,0.0776,00:00.0,00:00.0
400036,201088,2,97550.01,0.0783,00:00.0,00:00.0
400292,200126,1,24768.37,0.0979,00:00.0,00:00.0
400164,200756,3,22340.97,0.1426,00:00.0,00:00.0
400209,201322,2,87020.31,0.0353,00:00.0,00:00.0
400012,201356,2,27964.95,0.0722,00:00.0,00:00.0
400089,200982,1,2318.99,0.0924,00:00.0,00:00.0
400005,200353,3,65948.85,0.072,00:00.0,00:00.0
400145,200232,1,52660.1,0.0554,00:00.0,00:00.0
400272,200265,1,28872.26,0.1195,00:00.0,00:00.0
400277,201438,2,59895.91,0.0974,00:00.0,00:00.0
400281,200475,1,98439.14,0.1057,00:00.0,00:00.0
400004,201107,1,37284.69,0.0718,00:00.0,00:00.0
400060,200266,2,99733.08,0.1017,00:00.0,00:00.0
400192,200376,1,72508.87,0.0552,00:00.0,00:00.0
400025,200180,1,10436.77,0.1284,00:00.0,00:00.0
400186,200971,2,43412.87,0.0562,00:00.0,00:00.0
400270,200824,1,77144.41,0.0456,,00:00.0
400127,201065,1,58856.94,0.0365,00:00.0,00:00.0
400028,201494,3,38941.88,0.1249,00:00.0,00:00.0
400163,200728,1,11216.36,0.1208,00:00.0,00:00.0
400138,201384,1,62787.76,0.1291,00:00.0,00:00.0
400054,200843,3,63543.29,0.1231,00:00.0,00:00.0
400238,200275,1,91246.18,0.1171,00:00.0,00:00.0
400115,200474,3,12279.78,0.0323,00:00.0,00:00.0
400013,201406,1,34767.61,0.0561,00:00.0,00:00.0
400131,200970,1,18204.87,0.1418,00:00.0,00:00.0
400043,201360,1,64131.66,0.095,00:00.0,
400125,201517,1,75999.06,0.1267,00:00.0,00:00.0
400129,200617,1,54593.64,0.1132,00:00.0,00:00.0
400173,201164,1,72030.09,0.0789,00:00.0,00:00.0
400014,200029,1,20092.86,0.0636,00:00.0,00:00.0
400027,201270,1,78049.58,0.0601,00:00.0,00:00.0
400015,200229,1,26300.12,0.0902,00:00.0,00:00.0
400052,200433,1,84790.28,0.1027,,00:00.0
400266,200422,1,25027.83,0.1361,00:00.0,00:00.0
400102,200707,1,86520.89,0.0307,00:00.0,00:00.0
400312,201238,1,20250.86,0.1238,00:00.0,00:00.0
400263,201135,1,73003.39,0.0891,00:00.0,00:00.0
400067,200917,1,48227.66,0.1105,00:00.0,00:00.0
400091,201053,1,47644.19,0.0822,00:00.0,00:00.0
400061,200825,1,54672.65,0.0819,00:00.0,00:00.0
400298,201355,1,90886.2,0.0663,00:00.0,00:00.0
400128,200438,1,57775.26,0.1101,00:00.0,01:44.3
400000,201241,3,52255.85,0.1283,00:00.0,00:00.0
400150,201628,1,3503.09,0.1211,00:00.0,00:00.0
400229,200120,1,21375.07,0.1136,,00:00.0
400166,201526,3,29609.93,0.0489,00:00.0,00:00.0
400311,200871,1,53911.37,0.0539,00:00.0,00:00.0
400316,200462,1,31471.08,0.1104,00:00.0,00:00.0
400073,201395,1,5297.92,0.1311,00:00.0,00:00.0
400325,200397,1,24534.48,0.1021,01:44.3,
400310,201460,1,71795.09,0.1106,00:00.0,00:00.0
400110,200777,1,68552.73,0.1141,00:00.0,00:00.0
400213,200598,3,46033.42,0.0555,00:00.0,00:00.0
400210,200536,3,15545.33,0.0897,00:00.0,00:00.0
400271,200362,1,21884.17,0.0921,00:00.0,00:00.0
400283,200160,1,49796.21,0.0653,00:00.0,00:00.0
400169,200338,2,83104.84,0.1367,00:00.0,00:00.0
400197,201478,1,92371.27,0.0527,00:00.0,00:00.0
400172,200221,1,69014.96,0.1232,00:00.0,00:00.0
400315,201462,1,76957.94,0.0431,00:00.0,00:00.0
400319,201109,1,43211.52,0.0863,00:00.0,00:00.0
400030,201597,3,20518.94,0.117,00:00.0,00:00.0
400211,201264,1,91955.58,0.0869,00:00.0,00:00.0
400215,200475,1,58687.93,0.1413,00:00.0,00:00.0
400063,200269,2,27495.55,0.14,00:00.0,01:44.3
400105,201562,1,81783.1,0.048,00:00.0,
400088,200502,1,44398.15,0.078,00:00.0,00:00.0
400225,200537,1,84322.28,0.1428,00:00.0,00:00.0
400136,200042,1,74135.38,0.1104,00:00.0,00:00.0
400042,200107,1,42758.63,0.1214,00:00.0,00:00.0
400297,200915,1,17852.81,0.1182,00:00.0,00:00.0
400243,200311,1,95007.79,0.0494,00:00.0,00:00.0
400055,200017,1,28925.48,0.0957,00:00.0,00:00.0
400294,200441,1,47505.71,0.0547,00:00.0,00:00.0
400167,200441,1,49147.72,0.0551,00:00.0,00:00.0
400152,200139,3,63720.18,0.0837,00:00.0,00:00.0
400161,201162,1,54508.9,0.137,00:00.0,00:00.0
400239,200178,3,37183.71,0.1208,00:00.0,00:00.0
400045,200874,1,73387.28,0.0608,00:00.0,00:00.0
400305,201222,2,11486.53,0.0898,00:00.0,00:00.0
400274,201131,1,52436.38,0.1256,00:00.0,00:00.0
400023,200186,1,60253.22,0.0689,00:00.0,00:00.0
400080,201058,1,41196.54,0.1429,01:44.3,00:00.0
400206,201304,2,95252.56,0.0516,00:00.0,00:00.0
400176,201303,1,33175.84,0.0971,00:00.0,00:00.0
400329,201552,1,28696.43,0.1398,00:00.0,00:00.0
400135,201405,1,97867.65,0.0388,00:00.0,00:00.0
400185,200007,1,76160.97,0.1143,00:00.0,00:00.0
400269,200515,1,83925.89,0.0534,00:00.0,00:00.0
400214,201288,1,34281.29,0.099,00:00.0,00:00.0
400084,201500,1,34450.44,0.0928,00:00.0,00:00.0
400249,201264,1,70023.33,0.1388,00:00.0,00:00.0
400284,200186,1,77030.49,0.0918,00:00.0,00:00.0
400066,201386,1,73638.7,0.0964,00:00.0,01:44.3
400113,200304,1,99488.79,0.1418,00:00.0,00:00.0
400322,201361,1,79157.89,0.1236,00:00.0,00:00.0
400018,201072,1,35503.34,0.0355,00:00.0,00:00.0
400184,200172,1,98129.49,0.0759,00:00.0,00:00.0
400259,200179,1,95795.36,0.1271,00:00.0,00:00.0
400132,200558,1,16185.43,0.133,00:00.0,00:00.0
400193,201320,1,78813.97,0.0647,00:00.0,00:00.0
400068,201590,1,73391.3,0.0894,00:00.0,00:00.0
400242,200812,1,42825.5,0.0985,00:00.0,00:00.0
400223,200103,1,77709.06,0.0593,00:00.0,00:00.0
400205,200542,1,71988.1,0.1013,00:00.0,00:00.0
400002,201563,1,22288.38,0.0969,00:00.0,00:00.0
400245,201588,1,41816.69,0.0962,00:00.0,00:00.0
400260,201122,3,71503.39,0.0344,00:00.0,00:00.0
400155,200078,2,27406.57,0.0415,00:00.0,
400218,200520,1,92330,0.0324,00:00.0,00:00.0
400257,200844,1,9326.3,0.1361,00:00.0,00:00.0
400093,200873,2,68021.7,0.0645,00:00.0,00:00.0
400097,200715,1,61648.82,0.1036,00:00.0,00:00.0
400253,201058,2,42585.56,0.0935,00:00.0,00:00.0
400011,200467,1,51864.56,0.0402,00:00.0,00:00.0
400327,201389,1,80777.24,0.1165,00:00.0,00:00.0
400092,201438,1,49120.46,0.043,00:00.0,00:00.0
400098,200673,1,56226.29,0.1231,00:00.0,00:00.0
400231,200146,2,20910.17,0.1064,00:00.0,00:00.0
400171,201508,2,64868.95,0.0636,00:00.0,00:00.0
400178,200941,1,6326.34,0.0846,00:00.0,00:00.0
400031,200328,1,9103.78,0.0303,00:00.0,00:00.0
400077,201558,1,96528.66,0.0554,00:00.0,00:00.0
400046,200106,1,28448.65,0.0301,00:00.0,00:00.0
400165,201475,2,99467.25,0.1438,00:00.0,00:00.0
400219,200056,1,28744.19,0.0917,00:00.0,00:00.0
400022,201428,1,56615.03,0.1308,00:00.0,00:00.0
400221,200533,1,13646.58,0.13,00:00.0,00:00.0
400170,200603,3,52709.05,0.1062,00:00.0,00:00.0
400168,200047,1,80385.21,0.0313,00:00.0,00:00.0
400235,201405,1,4459.35,0.1336,00:00.0,00:00.0
400248,200593,1,21707.86,0.1191,00:00.0,00:00.0
400275,200161,2,98089.6,0.0583,00:00.0,00:00.0
400082,201086,1,69342.99,0.0397,00:00.0,00:00.0
400204,200370,1,93088.44,0.0549,00:00.0,00:00.0
400241,201620,2,67258.53,0.0768,00:00.0,00:00.0
400038,201514,1,1374.12,0.0505,00:00.0,00:00.0
400021,201011,1,10151.83,0.035,00:00.0,00:00.0
400147,200075,1,28474.62,0.0728,00:00.0,00:00.0
400144,200711,1,27771.85,0.1006,00:00.0,00:00.0
400047,200935,2,84300.98,0.1213,00:00.0,00:00.0
400190,201502,1,53870.68,0.087,00:00.0,00:00.0
400240,200916,3,28287.79,0.0527,00:00.0,00:00.0
400162,201541,2,23512.27,0.15,00:00.0,00:00.0
400228,200682,3,54691.61,0.0866,00:00.0,00:00.0
400037,200498,1,84938.36,0.1452,,00:00.0
400086,201641,1,83105.71,0.0627,00:00.0,00:00.0
400258,200278,1,34916.57,0.0796,00:00.0,00:00.0
400008,200379,1,47534.75,0.1395,00:00.0,00:00.0
400091,201053,1,47644.19,0.0822,00:00.0,00:00.0
400288,201275,2,34024.66,0.0476,00:00.0,00:00.0
400056,200691,1,65871.54,0.1185,00:00.0,00:00.0
400212,200447,1,89845.11,0.1394,00:00.0,00:00.0
